stem_id,plot_id,species_id,x,y
H1760_1536,H1760,ABA,31,88
H1760_1537,H1760,ABA,32,82.25
H1760_1538,H1760,ABA,32.25,84
H1760_1539,H1760,ABA,34.75,87
H1760_154,H1760,TOC,85.5,1.5
H1760_1540,H1760,ABA,35,81.75
H1760_1541,H1760,ABA,38,82
H1760_1542,H1760,ABA,39.25,84.75
H1760_1543,H1760,ABA,39.5,82
H1760_1544,H1760,ABA,39.5,85.75
H1760_1545,H1760,ABA,39.75,89.25
H1760_1546,H1760,ASP,48.84,81.38
H1760_1547,H1760,ASP,40.95,85.31
H1760_1548,H1760,ABA,40.61,83.69
H1760_1549,H1760,ASP,41.19,80.87
H1760_155,H1760,PTR,82.5,1
H1760_1550,H1760,ABA,40.74,82.94
H1760_1551,H1760,PGL,43.09,89.54
H1760_1552,H1760,BPA,49.75,88
H1760_1553,H1760,TOC,48.75,84
H1760_1554,H1760,TOC,42.75,80.25
H1760_1555,H1760,TOC,42.75,83
H1760_1556,H1760,TOC,40.5,84
H1760_1557,H1760,TOC,40,87
H1760_1558,H1760,TOC,45,88.75
H1760_1559,H1760,TOC,46.5,86.5
H1760_156,H1760,ABA,85,8
H1760_1560,H1760,ASP,45,85
H1760_1561,H1760,ABA,39.75,85
H1760_1562,H1760,ASP,45,80
H1760_1563,H1760,ABA,40.5,80.5
H1760_1564,H1760,ABA,42,81
H1760_1565,H1760,ABA,42,83
H1760_1566,H1760,ABA,42.5,82
H1760_1567,H1760,ABA,45,84
H1760_1568,H1760,ABA,45.5,81.5
H1760_1569,H1760,ABA,45.75,81.75
H1760_157,H1760,PTR,86.5,8.25
H1760_1570,H1760,ABA,48.75,87
H1760_1571,H1760,ASP,52.47,84.5
H1760_1572,H1760,ASP,56.65,88.87
H1760_1573,H1760,ASP,60.44,81.16
H1760_1574,H1760,ASP,51.44,81.43
H1760_1575,H1760,TOC,58,82.75
H1760_1576,H1760,TOC,56.5,81
H1760_1577,H1760,TOC,56,81.25
H1760_1578,H1760,TOC,55.5,82
H1760_1579,H1760,TOC,56,89.5
H1760_158,H1760,ABA,88.75,9
H1760_1580,H1760,TOC,54.5,88.5
H1760_1581,H1760,ABA,60,84
H1760_1582,H1760,ASP,59.5,83
H1760_1583,H1760,BPA,56,88
H1760_1584,H1760,ASP,51.75,88
H1760_1585,H1760,ASP,52,88
H1760_1586,H1760,ABA,50.25,87.5
